Maurício_Meneghini_Fauth  	 /phpmyadmin/libraries/classes/ReplicationGui.php  	 bug  	 326  	php:S2201
Maurício_Meneghini_Fauth  	 /phpmyadmin/js/vendor/codemirror/lib/codemirror.js  	 bug  	 6191  	javascript:S2259
Michal_Čihař  	 /phpmyadmin/js/vendor/tracekit.js  	 bug  	 6  	javascript:S2137
Michal_Čihař  	 /phpmyadmin/js/vendor/openlayers/src/openlayers/lib/OpenLayers/Format/WCSCapabilities/v1_0_0.js  	 bug  	 142  	javascript:DuplicatePropertyName
Michal_Čihař  	 /phpmyadmin/js/vendor/openlayers/src/openlayers/lib/OpenLayers/Format/WCSCapabilities/v1_0_0.js  	 bug  	 145  	javascript:DuplicatePropertyName
Michal_Čihař  	 /phpmyadmin/js/vendor/openlayers/src/openlayers/lib/OpenLayers/Format/WMTSCapabilities.js  	 bug  	 212  	javascript:S2259
Michal_Čihař  	 /phpmyadmin/js/vendor/openlayers/src/openlayers/lib/OpenLayers/Renderer/SVG.js  	 bug  	 340  	javascript:S2259
Michal_Čihař  	 /phpmyadmin/js/vendor/openlayers/src/openlayers/lib/deprecated.js  	 bug  	 5134  	javascript:S2259
Madhura_Jayaratne  	 /phpmyadmin/js/vendor/jqplot/plugins/jqplot.dateAxisRenderer.js  	 bug  	 488  	javascript:S2259
Marc_Delisle  	 /phpmyadmin/js/vendor/openlayers/src/openlayers/lib/OpenLayers/Control/Graticule.js  	 bug  	 319  	javascript:S2259
Marc_Delisle  	 /phpmyadmin/js/vendor/openlayers/src/openlayers/lib/OpenLayers/Format/ArcXML.js  	 bug  	 347  	javascript:S3981
Marc_Delisle  	 /phpmyadmin/js/vendor/openlayers/src/openlayers/lib/OpenLayers/Format/GeoJSON.js  	 bug  	 459  	javascript:S2583
Marc_Delisle  	 /phpmyadmin/js/vendor/openlayers/src/openlayers/lib/OpenLayers/Format/GeoJSON.js  	 bug  	 459  	javascript:S3812
Marc_Delisle  	 /phpmyadmin/js/vendor/openlayers/src/openlayers/lib/OpenLayers/Format/Text.js  	 bug  	 116  	javascript:S2259
Marc_Delisle  	 /phpmyadmin/js/vendor/openlayers/src/openlayers/lib/OpenLayers/Geometry/LineString.js  	 bug  	 330  	javascript:S2259
Marc_Delisle  	 /phpmyadmin/js/vendor/openlayers/src/openlayers/lib/OpenLayers/Renderer/VML.js  	 bug  	 299  	javascript:S2259
Atul_Pratap_Singh  	 /phpmyadmin/js/server/status/monitor.js  	 bug  	 2085  	javascript:S2259
Viduranga_Wijesooriya  	 /phpmyadmin/js/vendor/jquery/jquery-ui-timepicker-addon.js  	 bug  	 1875  	javascript:S2583
Viduranga_Wijesooriya  	 /phpmyadmin/js/vendor/jquery/jquery-ui-timepicker-addon.js  	 bug  	 1883  	javascript:S2583
Marc_Delisle  	 /phpmyadmin/js/vendor/jquery/jquery-ui-timepicker-addon.js  	 bug  	 2215  	javascript:S2259
Rouslan_Placella  	 /phpmyadmin/js/server/status/sorter.js  	 bug  	 18  	javascript:S2259
Rouslan_Placella  	 /phpmyadmin/js/vendor/jquery/jquery.ba-hashchange-1.3.js  	 bug  	 88  	javascript:S2137
Maurício_Meneghini_Fauth  	 /phpmyadmin/js/functions.js  	 bug  	 3877  	javascript:S2259
Marc_Delisle  	 /phpmyadmin/js/vendor/jqplot/plugins/jqplot.barRenderer.js  	 bug  	 477  	javascript:S905
Marc_Delisle  	 /phpmyadmin/js/vendor/jqplot/plugins/jqplot.cursor.js  	 bug  	 1081  	javascript:S3001
Marc_Delisle  	 /phpmyadmin/js/vendor/jqplot/plugins/jqplot.cursor.js  	 bug  	 1082  	javascript:S3001
Marc_Delisle  	 /phpmyadmin/js/vendor/jqplot/jquery.jqplot.js  	 bug  	 87  	javascript:S2137
Marc_Delisle  	 /phpmyadmin/js/vendor/jqplot/jquery.jqplot.js  	 bug  	 8826  	javascript:S2583
Marc_Delisle  	 /phpmyadmin/js/vendor/jqplot/jquery.jqplot.js  	 bug  	 8826  	javascript:S3403
Marc_Delisle  	 /phpmyadmin/js/vendor/jqplot/jquery.jqplot.js  	 bug  	 9512  	javascript:S2583
Marc_Delisle  	 /phpmyadmin/js/vendor/jqplot/jquery.jqplot.js  	 bug  	 9512  	javascript:S3403
Marc_Delisle  	 /phpmyadmin/js/vendor/jqplot/plugins/jqplot.pieRenderer.js  	 bug  	 391  	javascript:S2259
Marc_Delisle  	 /phpmyadmin/js/vendor/jqplot/plugins/jqplot.pieRenderer.js  	 bug  	 683  	javascript:S2583
Marc_Delisle  	 /phpmyadmin/js/vendor/jqplot/plugins/jqplot.pieRenderer.js  	 bug  	 708  	javascript:S2583
Marc_Delisle  	 /phpmyadmin/js/vendor/jqplot/plugins/jqplot.pieRenderer.js  	 bug  	 752  	javascript:S2583
Tyron_Madlener  	 /phpmyadmin/js/vendor/jquery/jquery.tablesorter.js  	 bug  	 522  	javascript:S2583
